Įstaiga;Paslauga;Renginio pavadinimas;Metai;Lėšos;Dalyvių skaičius
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis festivalis žmogaus teisių temomis „Nepatogus kinas“;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis.;2015;35000;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;XI Tarptautinis Vilniaus dokumentinių filmų festivalis;2015;1013.67;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis;2015;35000;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinei Afrikos dienai skirtas seansas „Pakeliui į mokyklą“;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;10-asis Vilniaus tarptautinis trumpųjų filmų festivalis;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;13-tas tarptautinis animacinių filmų festivalis Tindirindis;2015;-;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas; XIII Tarptautinis Vilniaus dokumentinių filmų festivalis“ ;2016;1600;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;   13-asis Tarptautinis Vilniaus dokumentinių filmų festivalis;2016;25000;-
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Vilniaus Tarptautinis dokumentinių filmų festivalis;2016;-;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Specialus Vilniaus tarptautinio festivalio „Sirenos“ seansas;2016;-;100
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;Tarptautinis Vilniaus dokumentinių filmų festivalis;2016;-;3000
VšĮ „Skalvijos“ kino centras;Tarptautinių bendradarbiavimo renginių, projektų, seminarų organizavimas;14-as Tarptautinis Vilniaus dokumentinių filmų festivalis;2017;20000;-
VšĮ „Skalvijos“ kino centras;Valstybės švenčių ir tradicinių Vilniaus miesto renginių, apdovanojimų ir minėtinų datų paslauga ;Vasario 16-osios valstybingumo maršrutai „Geltona Žalia Raudona“;2016;-;400
VšĮ „Skalvijos“ kino centras;Vilniaus miesto mugių paslauga;Knygų mugės seansai. Filmas „Violeta“, programa „Detektyviniai Arthuro Conano Doyle‘io siužetai“. Su pristatymais;2015;-;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto mugių paslauga;Vilniaus knygų mugės seansas;2016;-;100
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino edukacijos plėtra Lietuvos regionuose“ ;2015;9000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija ;2015;15000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademijos kūrybinė vasaros stovykla ;2015;4500;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino klasikos vakarai“ ;2015;7000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Nacionalinis kino edukacijos projektas „Mokausi iš kino“;2015;-;13000
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija;2016;1300;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Savaitgalio seansai vaikams „Karlsono kinas“  ;2016;2500;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Kino edukacijos projektas bendrojo lavinimo mokykloms „Mokausi iš kino“;2016;10000;11250
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;   Projektas „Skalvijos“ kino akademija;2016;12000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Kino klasikos vakarai“ ;2016;5000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas; Projektas „Lietuvos kino paveldo kontekstai: istorinės ir kultūrinės atminties išsaugojimas kinematografijoje“;2016;4000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Savaitgalio seansai vaikams „Karlsono kinas“  ;2017;2000;1345
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;Projektas „Skalvijos“ kino akademija;2017;2000;-
VšĮ „Skalvijos“ kino centras;Vilniaus miesto savivaldybės kultūros įstaigų projektų konkursas;    Projektas „Kino klasikos vakarai“ ;2017;6000;-
