Įstaiga;Įstatinis_kapitalas_Eur;Dalininku_skacius;VMSA_dalis_Eur;VMSA_dalis_proc
VšĮ „Skalvijos“ kino centras;40914,33;1;40914,33;100
VšĮ „Trakų Vokės dvaro sodyba“;28,96;1;28,96;100
VšĮ „Vilniaus festivaliai”;289,62;1;289,62;100
VšĮ „Vilniaus Jeruzalės skulptūrų sodas“;29;2;14,48;50
VšĮ Azijos menų centras;58;2;28,96;50
VšĮ Kultūros ir švietimo centras Vilniaus mokytojų namai;28,96;1;28,96;100
VšĮ Lietuvos energetikos muziejus;330184,1;5;176507,26;53,46
VšĮ Vilniaus rotušė;56476,19;1;56476,19;100
Vaikų ir jaunimo meno galerija;579;2;289,62;50
Vilniaus kino biuras;11584,8;1;11584,8;100
VšĮ Menų spaustuvė;1448,1;5;289,62;20
VšĮ Užupio meno inkubatorius;115,84;1;115,84;100
Naujosios Vilnios kultūros centras;-;-;-;-
Memorialinių muziejų direkcija;-;-;-;-
M. K. Čiurlionio namai;-;-;-;-
Literatūrinis A. Puškino muziejus;-;-;-;-
Kultūros centras;-;-;-;-
Kristoforo orkestras;-;-;-;-
Kirtimų kultūros centras;-;-;-;-
J. ir M. Šlapelių muziejus;-;-;-;-
Grigiškių kultūros centras;-;-;-;-
Etninės kultūros centras;-;-;-;-
Choras Jauna muzika;-;-;-;-
Centrinė biblioteka;-;-;-;-
